changepoint_prior_scale,seasonality_prior_scale,point_var_lags,minimum_error_prediction,error_trend,MSE,WMSE
0.001,0.01,10,100.0,0.01,1706749.7777271583,1687628.2491677124
0.001,0.01,10,100.0,0.1,1706749.7777273047,1676753.259163693
0.001,0.01,10,100.0,1.0,1706749.7777270856,1660630.5209139143
0.001,0.01,10,100.0,10.0,1706749.7777271252,1658541.1677814755
0.001,0.01,10,500.0,0.01,1706749.7777273543,1697663.8575966978
0.001,0.01,10,500.0,0.1,1706749.7777271853,1697553.9579977195
0.001,0.01,10,500.0,1.0,1706749.7777272738,1680613.1666028171
0.001,0.01,10,500.0,10.0,1706749.7777271413,1663137.3855699273
0.001,0.01,10,,0.01,1706749.777727437,1710712.239055053
0.001,0.01,10,,0.1,1706749.7777271525,1710637.1924739357
0.001,0.01,10,,1.0,1706749.777727291,1710041.919552309
0.001,0.01,10,,10.0,1706749.7777272828,1702566.073977579
